first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Yan,Valery,2,54,1709,2,1,30,0,3,1,3,5.0,21,1.106,21.0,1.106
Jan,Bednarek,2,49,2150,0,1,37,3,3,0,7,4.5,11,0.46,22.0,0.921
Jack,Stephens,2,47,1697,1,0,35,4,3,0,4,4.5,18,0.955,36.0,1.909
Maya,Yoshida,2,44,1518,0,1,29,4,3,0,0,4.5,19,1.126,38.0,2.253
Kayne,Ramsay,2,1,90,0,0,3,0,0,0,0,4.0,0,0.0,0,0.0
Charlie,Austin,4,46,970,2,2,17,1,5,0,1,6.0,14,1.299,9.333,0.866
Danny,Ings,4,90,1650,7,3,27,11,5,0,1,6.0,47,2.564,31.333,1.709
Michael,Obafemi,4,13,134,1,1,3,0,0,0,1,5.0,6,4.03,12.0,8.06
Shane,Long,4,66,1260,5,2,24,5,2,0,3,5.0,28,2.0,56.0,4.0
Sam,Gallagher,4,4,32,0,0,1,0,0,0,0,4.5,0,0.0,0,0.0
Fraser,Forster,1,2,90,0,0,3,0,0,0,0,4.5,0,0.0,0.0,0.0
Alex,McCarthy,1,73,2250,0,0,44,6,4,0,1,4.5,21,0.84,42.0,1.68
Angus,Gunn,1,47,1080,0,0,18,4,3,0,0,4.5,16,1.333,32.0,2.667
Nathan,Redmond,3,137,3272,6,5,58,12,9,0,3,6.5,63,1.733,31.5,0.866
James,Ward-Prowse,3,94,1940,7,0,41,15,3,0,4,6.0,49,2.273,32.667,1.515
Mohamed,Elyounoussi,3,28,785,0,0,10,0,4,0,0,5.5,4,0.459,4.0,0.459
Stuart,Armstrong,3,75,1421,3,4,26,3,5,0,2,5.5,33,2.09,33.0,2.09
Mario,Lemina,3,50,1612,1,2,37,2,4,0,5,5.0,12,0.67,24.0,1.34
Pierre-Emile,Højbjerg,3,90,2760,4,3,59,8,4,2,7,5.0,28,0.913,56.0,1.826
Tyreke,Johnson,3,1,1,0,0,0,0,0,0,0,4.5,0,0.0,0,0.0
Callum,Slattery,3,4,110,0,0,1,0,0,0,0,4.5,0,0.0,0,0.0
Oriol,Romeu Vidal,3,55,2131,1,0,37,3,6,0,11,4.5,3,0.127,0,0.0
Wesley,Hoedt,2,29,1170,0,0,24,3,4,0,2,4.5,17,1.308,34.0,2.615
Cédric,Soares,2,52,1493,1,2,31,7,4,0,4,5.0,31,1.869,31.0,1.869
Ben,Davies,2,66,1837,0,0,26,5,6,0,2,5.5,27,1.323,18.0,0.882
Jan,Vertonghen,2,67,1911,1,0,23,7,6,1,3,5.5,31,1.46,20.667,0.973
Toby,Alderweireld,2,107,2921,0,0,31,7,12,0,3,5.5,52,1.602,34.667,1.068
Danny,Rose,2,86,1792,0,4,16,5,8,0,5,5.5,44,2.21,29.333,1.473
Davinson,Sánchez,2,78,1941,1,2,22,4,6,0,2,5.5,38,1.762,25.333,1.175
Kieran,Trippier,2,118,2275,1,5,23,16,10,0,2,5.5,75,2.967,50.0,1.978
Juan,Foyth,2,35,888,1,0,12,4,3,1,3,5.0,16,1.622,16.0,1.622
Serge,Aurier,2,24,562,0,2,9,0,2,0,1,5.0,13,2.082,13.0,2.082
Kyle,Walker-Peters,2,28,374,0,3,4,4,2,0,1,5.0,20,4.813,20.0,4.813
Harry,Kane,4,160,2423,17,6,31,24,9,0,5,11.0,105,3.9,16.154,0.6
Vincent,Janssen,4,3,36,0,0,0,0,0,0,0,4.5,0,0.0,0,0.0
Hugo,Lloris,1,145,2970,0,0,33,10,12,0,0,5.5,58,1.758,38.667,1.172
Paulo,Gazzaniga,1,13,270,0,0,2,0,1,0,0,4.5,4,1.333,8.0,2.667
Heung-Min,Son,3,159,2033,12,8,23,17,10,1,2,9.5,106,4.693,21.2,0.939
Christian,Eriksen,3,161,2770,8,12,37,15,8,0,3,9.0,96,3.119,21.333,0.693
Bamidele,Alli,3,94,1822,5,4,21,8,8,0,4,8.5,49,2.42,12.25,0.605
Lucas,Rodrigues Moura da Silva,3,131,2115,10,2,18,8,14,0,3,7.5,75,3.191,25.0,1.064
Erik,Lamela,3,67,965,4,4,12,5,4,0,2,6.0,39,3.637,26.0,2.425
Harry,Winks,3,53,1589,1,0,17,3,6,0,4,5.5,10,0.566,10.0,0.566
Victor,Wanyama,3,24,511,1,0,4,2,3,0,2,5.0,8,1.409,16.0,2.818
Moussa,Sissoko,3,76,2329,0,3,28,3,11,0,2,5.0,21,0.812,42.0,1.623
Eric,Dier,3,56,1504,3,0,18,3,5,0,4,5.0,19,1.137,38.0,2.274
Luke,Amos,3,1,2,0,0,0,0,0,0,0,4.5,0,0.0,0,0.0
Oliver,Skipp,3,12,214,0,0,1,0,2,0,0,4.5,2,0.841,0,0.0
José,Holebas,2,93,2392,3,7,41,10,5,1,12,5.0,54,2.032,54.0,2.032
Christian,Kabasele,2,36,1584,0,0,29,1,3,1,2,4.5,8,0.455,16.0,0.909
Adam,Masina,2,26,1002,0,1,20,1,2,0,5,4.5,7,0.629,14.0,1.257
Adrian,Mariappa,2,57,1924,0,0,32,2,5,0,3,4.5,19,0.889,38.0,1.778
Francisco,Femenía Far,2,66,2043,1,1,40,6,4,0,1,4.5,30,1.322,60.0,2.643
Craig,Cathcart,2,93,3095,3,0,54,5,6,0,2,4.5,45,1.309,90.0,2.617
Daryl,Janmaat,2,50,1520,0,2,22,6,3,0,3,4.5,21,1.243,42.0,2.487
Marc,Navarro,2,2,84,0,0,3,0,0,0,0,4.0,0,0.0,0,0.0
Sebastian,Prödl,2,1,13,0,0,0,0,0,0,0,4.0,0,0.0,0,0.0
Troy,Deeney,4,116,2542,9,5,44,13,5,1,4,6.5,57,2.018,28.5,1.009
Gerard,Deulofeu,4,133,2064,10,5,29,10,9,0,3,6.5,62,2.703,31.0,1.352
Andre,Gray,4,83,1352,7,2,23,10,4,0,2,6.0,42,2.796,28.0,1.864
Isaac,Success Ajayi,4,42,1033,1,1,21,0,2,0,4,5.0,3,0.261,6.0,0.523
Ben,Foster,1,129,3420,0,0,59,11,7,0,1,5.0,38,1.0,38.0,1.0
Abdoulaye,Doucouré,3,124,3061,5,7,56,14,5,0,7,6.0,58,1.705,38.667,1.137
Roberto,Pereyra,3,122,2817,6,4,53,13,6,0,3,6.0,58,1.853,38.667,1.235
Will,Hughes,3,87,2419,2,4,39,5,7,0,5,5.5,29,1.079,29.0,1.079
Tom,Cleverley,3,25,470,1,0,7,2,3,0,2,5.0,8,1.532,16.0,3.064
Ken,Sema,3,37,747,1,2,9,1,3,0,1,5.0,14,1.687,28.0,3.373
Etienne,Capoue,3,79,2944,1,3,48,8,8,1,14,5.0,13,0.397,26.0,0.795
Nathaniel,Chalobah,3,10,265,0,0,7,0,0,0,2,4.5,-2,-0.679,0,0.0
Domingos,Quina,3,17,334,1,0,5,2,0,0,0,4.5,7,1.886,0,0.0
Aaron,Cresswell,2,34,1588,0,1,26,0,1,0,1,5.0,6,0.34,6.0,0.34
Angelo,Ogbonna,2,48,1871,1,1,36,2,2,0,2,4.5,17,0.818,34.0,1.635
Arthur,Masuaku,2,49,1757,0,2,29,0,4,0,2,4.5,20,1.024,40.0,2.049
Pablo,Zabaleta,2,56,2089,0,1,35,4,4,0,4,4.5,19,0.819,38.0,1.637
Ryan,Fredericks,2,38,1084,1,0,16,4,3,0,5,4.5,17,1.411,34.0,2.823
Issa,Diop,2,87,2970,1,0,43,6,7,0,4,4.5,36,1.091,72.0,2.182
